iter	Passed	Remaining
0	141	141068
1	144	72003
2	147	48889
3	149	37284
4	151	30177
5	153	25400
6	155	21992
7	156	19402
8	157	17377
9	159	15751
10	160	14421
11	162	13373
12	163	12450
13	165	11636
14	166	10928
15	167	10305
16	168	9756
17	169	9267
18	171	8829
19	172	8438
20	173	8088
21	174	7769
22	175	7471
23	177	7223
24	179	6981
25	180	6749
26	181	6531
27	182	6332
28	183	6144
29	184	5969
30	185	5807
31	186	5654
32	188	5512
33	189	5376
34	190	5251
35	191	5135
36	193	5026
37	194	4917
38	195	4812
39	196	4714
40	197	4620
41	198	4529
42	199	4446
43	200	4364
44	202	4288
45	203	4214
46	204	4154
47	206	4095
48	207	4035
49	209	3972
50	210	3911
51	211	3852
52	212	3795
53	213	3738
54	214	3685
55	215	3633
56	216	3583
57	217	3539
58	219	3495
59	220	3450
60	221	3412
61	223	3375
62	224	3338
63	225	3302
64	227	3269
65	228	3236
66	230	3207
67	231	3174
68	232	3139
69	233	3106
70	234	3073
71	236	3046
72	237	3018
73	239	2990
74	240	2962
75	241	2936
76	242	2910
77	244	2884
78	245	2858
79	246	2834
80	247	2810
81	248	2786
82	250	2763
83	252	2756
84	254	2739
85	255	2718
86	257	2698
87	258	2678
88	259	2659
89	261	2640
90	262	2624
91	264	2608
92	265	2592
93	267	2581
94	269	2570
95	271	2552
96	272	2533
97	273	2516
98	274	2498
99	275	2482
100	277	2467
101	278	2453
102	280	2439
103	281	2425
104	282	2410
105	284	2395
106	285	2381
107	286	2365
108	287	2351
109	288	2337
110	290	2323
111	291	2310
112	292	2296
113	293	2282
114	294	2270
115	296	2259
116	297	2245
117	298	2232
118	299	2219
119	300	2206
120	302	2194
121	303	2180
122	304	2168
123	305	2156
124	306	2145
125	307	2134
126	308	2121
127	310	2111
128	311	2103
129	312	2092
130	313	2082
131	315	2071
132	316	2060
133	317	2049
134	318	2039
135	319	2030
136	320	2020
137	321	2010
138	323	2000
139	324	1992
140	325	1983
141	326	1972
142	327	1964
143	328	1955
144	330	1946
145	331	1938
146	332	1931
147	334	1923
148	335	1915
149	336	1906
150	337	1897
151	338	1889
152	340	1883
153	341	1877
154	343	1870
155	344	1863
156	345	1855
157	346	1848
158	348	1841
159	349	1834
160	350	1825
161	351	1818
162	353	1817
163	355	1814
164	357	1808
165	358	1802
166	359	1795
167	361	1788
168	362	1782
169	363	1776
170	365	1769
171	366	1764
172	368	1760
173	370	1759
174	371	1753
175	373	1747
176	374	1740
177	375	1734
178	376	1727
179	377	1720
180	378	1714
181	380	1708
182	381	1703
183	382	1698
184	384	1694
185	386	1689
186	387	1685
187	389	1681
188	391	1678
189	392	1673
190	393	1667
191	394	1661
192	395	1655
193	397	1650
194	398	1645
195	399	1639
196	401	1635
197	403	1633
198	404	1629
199	405	1623
200	407	1618
201	408	1612
202	409	1606
203	410	1601
204	411	1596
205	413	1592
206	414	1587
207	415	1583
208	417	1578
209	418	1573
210	421	1577
211	423	1574
212	424	1569
213	426	1564
214	427	1560
215	429	1557
216	430	1553
217	431	1547
218	432	1542
219	433	1537
220	434	1532
221	435	1527
222	437	1522
223	438	1518
224	439	1513
225	440	1509
226	442	1507
227	444	1503
228	445	1499
229	446	1494
230	448	1492
231	449	1488
232	450	1484
233	452	1479
234	453	1475
235	454	1471
236	455	1467
237	457	1464
238	458	1460
239	460	1456
240	461	1452
241	462	1448
242	463	1444
243	465	1441
244	466	1437
245	467	1432
246	468	1429
247	470	1425
248	471	1422
249	472	1418
250	474	1415
251	475	1412
252	477	1409
253	479	1408
254	481	1405
255	482	1402
